audio_path,score,evaluator_id
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_48.wav,5.0,3604111
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,3.0,3580370
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,3.0,3581050
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,3.0,3604503
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,3.0,3578996
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,3.0,3568756
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,4.0,3578911
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,4.0,3604097
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,4.0,3581394
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,4.0,3581030
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3581103
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3581598
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3582257
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12287_49.wav,5.0,3579996
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,4.0,3568239
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,4.0,3579374
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,4.0,3579967
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,4.0,3580119
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,4.0,3578996
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3580162
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3581445
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3604111
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3568674
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3581429
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3579347
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3568529
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3578958
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_40.wav,5.0,3580370
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,3.0,3579374
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,3.0,3581429
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,4.0,3579855
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,4.0,3579967
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,4.0,3604162
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,4.0,3604169
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3568872
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3604274
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3568529
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3568674
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3579037
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3579996
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3568756
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_41.wav,5.0,3581030
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,2.0,3568706
